預約登記時間,病患真實姓名,身分證字號,出生年月日,聯絡電話,居住通訊地址,預約疫苗品項,慢性病史與特殊備註,期望施打時段,掛號類別,施打狀態
2026-09-20 09:15,張大山,A123456789,1972-05-18,0912-345-678,新北市板橋區文化路二段182巷3弄5號,賽諾菲菲流達3價流感疫苗,無特殊病史、對雞蛋無過敏,平日晚診,線上預約早鳥,已施打
2026-09-20 09:40,李美玲,B298765432,1985-11-04,0988-112-234,台北市大安區忠孝東路四段216巷11號3樓,GSK 3價流感疫苗,輕微氣喘病史、常態規律用藥,週六早診,線上預約早鳥,已施打
2026-09-20 10:05,王建國,F120394857,1956-08-22,0933-556-789,新北市中和區景平路431巷8號,東洋佐劑加強型流感疫苗(Fluad),68歲男性、第二型糖尿病合併高血壓,平日早診,線上預約早鳥,已預約未施打
2026-09-20 10:30,陳淑芬,D234567891,1968-02-14,0921-778-899,新北市三重區重新路三段99號,東洋輔流威護細胞流感疫苗,自述對食用雞蛋有嚴重過敏史,平日晚診,線上預約早鳥,已預約未施打
2026-09-20 11:10,林志豪,H187654321,2018-09-30,0919-887-654,台北市士林區中正路235巷6號,AZ 鼻噴劑流感疫苗,7歲兒童、極度懼怕傳統針劑注射,週六早診,線上預約正式,已施打
2026-09-20 13:20,蔡佩珊,E245678901,1992-12-05,0955-443-322,高雄市苓雅區四維三路88號,東洋輔流威護細胞流感疫苗,無特殊病史、自費指名細胞培養型,平日下午診,線上預約早鳥,已預約未施打
2026-09-20 14:05,郭俊傑,J198765432,1952-04-16,0928-665-544,新北市新莊區中正路514號2樓,東洋佐劑加強型流感疫苗(Fluad),74歲長輩、心血管支架術後維持中,平日早診,線上預約正式,已預約未施打
2026-09-20 14:50,謝雅婷,C223344556,2017-06-20,0972-334-455,基隆市仁愛區愛三路66號,AZ 鼻噴劑流感疫苗,8歲兒童、希望無痛鼻噴接種,週六早診,線上預約正式,已施打
2026-09-20 15:30,洪振華,K156789012,1960-10-10,0937-221-188,新竹市東區光復路二段101號,賽諾菲菲流達3價流感疫苗,高血壓慢性病、定期回診追蹤,平日晚診,線上預約早鳥,已預約未施打
2026-09-20 16:15,楊婷婷,L287654321,1980-07-28,0910-998-877,台中市西屯區台灣大道三段99號,GSK 3價流感疫苗,無特殊慢性病、公司員工自費預約,平日下午診,線上預約早鳥,已預約未施打
2026-10-01 15:20,趙金水,M123456789,1948-06-15,0932-888-999,台北市文山區萬芳路28號,東洋佐劑加強型流感疫苗(Fluad),78歲長輩由家屬陪同現場掛號,平日下午診,現場掛號自費,已施打
